Avg_visit_duration,Pages_per_visit,Influence
684,8.62,0.3893
1294,11.22,0.1494
604,8.46,0.0902
633,11.19,0.0283
466,11.06,0.0270
359,7.98,0.0240
228,2.97,0.0227
673,9.3,0.0166
458,5.7,0.0148
592,9.24,0.0144
196,1.57,0.0135
549,4.15,0.0118
510,11.4,0.0110
419,8.67,0.0107
440,8.33,0.0101
535,6.7,0.0099
475,6.95,0.0094
210,2.86,0.0085
564,7.64,0.0073
569,6.49,0.0069
864,17.1,0.0063
546,8.03,0.0060
432,6.45,0.0060
241,10.08,0.0057
423,8.63,0.0057
1208,12.78,0.0053
499,4.16,0.0052
282,3.97,0.0049
430,5.32,0.0048
117,2.43,0.0045
492,6.69,0.0044
1005,10.84,0.0044
357,3.6,0.0043
298,4.85,0.0043
560,7.29,0.0042
230,3.21,0.0040
1028,7.74,0.0039
375,4.34,0.0038
240,2.28,0.0035
151,2.32,0.0034
399,6.93,0.0034
298,4.05,0.0034
314,12.34,0.0034
51,2.19,0.0029
682,12.41,0.0030
214,4.47,0.0028
53,1.75,0.0028
77,1.91,0.0028
286,3.16,0.0028
575,3.53,0.0027
